First Name,Last Name,Date of Birth (Y-m-d),State,Sex,Height (cm),Weight (KG)
Magnus,Veum,03/07/1973,Nevada,female,184,105
River,Mertz,27/06/1971,Minnesota,male,173,157
Emma,Lockman,11/03/1969,Alabama,female,191,146
Gretchen,Hirthe,30/05/1977,Pennsylvania,female,163,156
Mike,Heidenreich,29/11/1991,Arkansas,female,186,54
Yadira,Block,30/05/1990,Georgia,male,186,56
Bettye,Hilll,25/10/1991,Maine,male,159,69
Bernardo,Wilderman,14/02/1986,Kentucky,male,169,121
Zechariah,Buckridge,30/04/1993,NewYork,female,164,78
Neil,Anderson,13/10/1985,California,male,189,120
Ada,Russel,09/08/1989,WestVirginia,female,184,83
Oran,Wisoky,12/03/1980,Louisiana,male,166,134
Donald,Bergstrom,02/07/1973,Colorado,male,176,114
Diego,Reichel,08/12/1980,Idaho,male,153,142
Kari,Hintz,10/05/1976,Washington,male,188,112
Rowan,Konopelski,28/06/1987,Wyoming,male,186,80
Lenora,Medhurst,28/07/1988,Vermont,female,200,101
Gilda,Hackett,24/07/1975,Idaho,male,156,142
Benedict,Bode,23/04/1990,Massachusetts,female,162,64
Alvena,McKenzie,19/01/1974,Nebraska,male,157,150
Rowan,Hirthe,05/05/1987,Iowa,male,158,115
Araceli,Thompson,27/11/1976,Wyoming,male,185,151
Kory,Denesik,16/10/1965,Wyoming,female,159,97
Simone,Trantow,01/03/1975,Wisconsin,female,178,104
Gay,Homenick,25/08/1986,Arizona,male,195,76
Gardner,Abernathy,08/10/1993,NorthCarolina,male,163,155
Orrin,Bayer,27/08/1990,Virginia,female,184,155
Tanner,Hickle,23/02/1989,Texas,female,164,59
Anabelle,Heidenreich,06/01/1972,Nebraska,female,177,85
Elian,Kutch,09/02/1991,Washington,female,152,102
Maggie,Hudson,18/06/1982,Alaska,male,160,121
Forrest,Metz,20/05/1993,Illinois,male,183,87
Alexane,Ritchie,13/10/1975,Tennessee,female,194,109
Koby,Beer,20/07/1986,California,male,184,60
Aurelie,Prohaska,21/03/1966,Louisiana,male,165,159
Merle,Kunze,24/11/1975,Vermont,male,175,76
Miller,Beatty,06/06/1979,Nevada,male,200,152
Zelda,Ratke,17/04/1977,Mississippi,male,197,74
Amya,Ritchie,12/02/1979,Delaware,female,185,134
Gracie,Brekke,13/01/1982,Connecticut,male,181,140
Dillan,Medhurst,07/12/1966,NorthCarolina,female,171,52
Otha,Gutkowski,17/02/1987,Nevada,male,192,125
Bartholome,Sawayn,17/03/1983,Vermont,female,157,111
Jose,Hermann,28/11/1967,Alabama,female,195,74
Dayton,Nicolas,17/03/1966,SouthDakota,female,156,109
Bruce,Schaden,01/08/1988,Arkansas,male,180,54
Magdalen,Cassin,08/06/1977,SouthCarolina,male,151,52
Davin,Dach,06/11/1982,Texas,male,171,154
Joseph,Cassin,30/03/1971,Oklahoma,female,194,121
Marilie,Ward,29/09/1984,Arizona,female,183,78
America,Langworth,08/07/1969,Georgia,female,195,125
Keshawn,Treutel,02/03/1988,Louisiana,female,190,106
Ilene,Gutkowski,16/03/1975,Vermont,male,151,122
Amya,Olson,08/05/1974,RhodeIsland,male,190,110
Marion,Corkery,13/02/1992,Georgia,female,183,124
Lydia,Barton,12/07/1985,SouthCarolina,female,175,79
Porter,Kohler,08/07/1986,Louisiana,female,179,83
Shyann,Ruecker,02/04/1979,NorthCarolina,female,180,129
Willard,Gibson,18/11/1990,Nebraska,male,191,115
Amira,Mante,01/03/1988,Tennessee,female,191,76
Justen,Satterfield,17/10/1987,Delaware,male,181,65
Cole,Cruickshank,03/09/1973,Louisiana,female,173,153
Deven,Trantow,22/05/1964,SouthDakota,female,199,156
Meredith,Sporer,13/07/1970,Connecticut,male,151,133
Laurel,Braun,14/05/1982,WestVirginia,female,166,95
Weston,Schmitt,14/05/1975,Montana,male,157,150
Landen,Bartell,19/06/1985,Arizona,male,200,103
Clair,Bosco,21/02/1991,WestVirginia,male,194,58
Emilio,Bernhard,15/10/1986,NewJersey,female,185,149
Annette,Huels,19/03/1970,Maine,female,158,128
Nicole,Bogisich,10/02/1967,SouthCarolina,male,195,87
Carey,Graham,21/09/1992,Idaho,female,164,138
Jayne,Gottlieb,14/02/1990,NewJersey,female,160,134
Bruce,Harris,02/12/1967,Utah,female,188,138
Clifford,Cronin,06/11/1977,Mississippi,male,194,62
Antwon,Littel,06/03/1978,Tennessee,male,182,78
Winona,Windler,16/07/1968,Louisiana,male,185,77
Destini,Prosacco,04/03/1977,Maryland,female,151,64
Zoie,Hintz,03/08/1978,Wyoming,male,154,142
Ila,Goldner,29/01/1977,Delaware,male,188,50
Raul,Marks,22/10/1993,Florida,female,182,149
Meagan,Little,23/02/1991,NewJersey,male,184,71
Bennett,Rath,17/01/1975,Florida,male,183,93
Cruz,Bins,14/02/1992,Tennessee,female,180,67
Gwendolyn,Wiegand,21/09/1981,Colorado,female,164,52
Brandon,Durgan,21/11/1966,Wyoming,male,169,124
Deondre,Johnston,29/05/1972,Oregon,male,169,89
Elyssa,Medhurst,18/09/1986,NewMexico,female,194,93
Wilhelm,Monahan,17/07/1981,Maine,male,171,104
Luciano,Feil,12/02/1970,Connecticut,male,195,76
Daryl,Carroll,08/06/1993,Nevada,male,152,148
John,Barton,19/05/1988,NewJersey,female,178,112
Gerardo,Homenick,20/04/1970,SouthCarolina,female,193,74
Giuseppe,Schamberger,08/01/1973,Connecticut,male,196,140
Elisabeth,Romaguera,08/07/1983,Kansas,male,188,61
Jenifer,Bode,14/01/1964,Alaska,female,186,104
Scotty,Jaskolski,20/12/1966,Idaho,male,198,147
Francesco,Casper,30/08/1976,California,female,171,133
Jamir,Davis,20/12/1970,SouthCarolina,male,150,70
Ian,Jakubowski,19/05/1968,RhodeIsland,male,172,57
Obie,Schuster,13/01/1980,Michigan,male,194,63
Deondre,Batz,16/04/1989,Indiana,female,160,124
Ima,VonRueden,16/09/1974,Washington,female,186,107
Eva,Mitchell,12/08/1978,Wisconsin,female,182,96
Rossie,Herzog,19/04/1975,Oklahoma,female,185,70
Amira,Bradtke,03/05/1978,NorthCarolina,male,190,150
Camryn,Ondricka,01/11/1987,Michigan,male,178,144
Akeem,Goldner,18/11/1981,Montana,female,184,79
Yessenia,Dooley,19/08/1977,Indiana,male,159,80
Julien,Kohler,15/01/1989,Iowa,male,159,128
Delmer,Emard,25/12/1967,NewJersey,male,171,114
Keyon,Schulist,28/12/1985,NewYork,male,178,137
Benny,Howell,12/12/1967,SouthCarolina,female,162,105
Giovanna,Schultz,06/05/1992,Washington,female,158,64
Kayleigh,Gutkowski,21/07/1982,Alabama,male,195,142
Ella,Reichel,09/07/1990,Alaska,male,187,118
Emelia,Jacobi,15/01/1965,NorthCarolina,female,153,69
Pinkie,Reilly,26/10/1977,Kansas,male,164,143
Justine,Feeney,10/08/1968,RhodeIsland,male,162,53
Laury,McClure,24/12/1970,Wisconsin,male,170,74
Conner,White,15/03/1976,California,female,181,121
Anahi,Bernhard,23/05/1968,NewJersey,male,198,71
Jerrod,Koch,26/06/1966,Pennsylvania,male,199,99
Vance,Abshire,16/10/1974,Kansas,male,175,117
Jovan,Weissnat,13/12/1968,Arizona,female,172,106
Ian,Balistreri,11/04/1993,RhodeIsland,female,178,77
Dakota,Kunze,23/11/1981,Iowa,female,180,84
Terry,Altenwerth,12/04/1982,Iowa,female,174,115
Cory,Feeney,04/12/1989,Ohio,female,182,143
Christopher,Balistreri,17/06/1973,Arizona,female,152,76
Kari,Ritchie,11/04/1974,Delaware,male,159,145
Regan,Wisoky,29/05/1988,Minnesota,female,195,140
Dorothy,Kihn,02/01/1970,Colorado,male,170,136
Xzavier,Howell,14/03/1982,Hawaii,female,170,80
Chaz,Emmerich,17/02/1993,SouthCarolina,male,177,128
Enoch,Crist,09/06/1981,Maine,male,175,80
Bridgette,Sporer,22/01/1984,Arkansas,female,154,147
Jarred,Volkman,18/10/1965,Tennessee,male,193,91
Fabian,Klein,06/11/1966,SouthDakota,male,173,50
Alf,Kutch,23/12/1964,Alaska,male,154,56
Randal,Beier,21/10/1973,Connecticut,male,198,76
Shayna,Little,22/09/1985,Tennessee,male,172,65
Kip,Ratke,03/05/1971,Oregon,female,157,109
Zoie,Greenfelder,10/05/1988,Nebraska,male,164,152
Johan,Upton,24/02/1981,SouthCarolina,female,151,100
Holly,Dicki,16/03/1988,WestVirginia,male,164,156
Alyson,Quitzon,07/04/1984,Georgia,male,190,54
Maude,Kassulke,05/11/1975,Minnesota,male,180,149
Ana,Kihn,01/02/1983,NewHampshire,male,150,88
Gregg,Kozey,16/11/1993,NewHampshire,female,162,98
Eino,Bahringer,27/08/1981,Arizona,female,187,93
Mateo,Koepp,01/06/1984,NewYork,female,154,142
Laila,Nienow,28/05/1969,WestVirginia,male,163,158
Magali,Bergnaum,25/06/1967,WestVirginia,male,160,79
Agustin,Bashirian,03/11/1968,Wisconsin,female,172,82
Araceli,Steuber,04/07/1964,NewJersey,female,168,114
Krystel,Erdman,25/01/1985,Maryland,female,179,90
Lue,Lueilwitz,02/05/1979,Utah,female,184,156
Eugene,Waelchi,06/01/1976,NewJersey,male,157,157
Jorge,Schimmel,08/04/1985,NewJersey,female,181,74
Collin,Cartwright,14/04/1979,Colorado,female,157,157
Bennie,Klein,07/12/1977,Alabama,female,196,56
Kennedy,Casper,26/05/1969,Louisiana,female,192,85
Keegan,Boyle,08/03/1989,NewYork,female,163,109
Eleanore,Spinka,11/05/1975,Louisiana,male,182,157
Muhammad,Roberts,27/09/1991,Idaho,female,174,87
Monique,Marks,22/09/1988,NewHampshire,male,163,151
Kendall,Roob,14/07/1985,SouthCarolina,male,154,115
Pascale,Doyle,27/08/1976,Delaware,male,191,131
Osbaldo,Champlin,06/03/1989,Kansas,male,195,88
Lavern,Hoeger,19/07/1977,Connecticut,male,170,104
Fae,Williamson,29/08/1976,NewJersey,male,165,95
Kendra,Funk,05/11/1983,NewMexico,female,152,76
Brooklyn,Macejkovic,07/06/1972,Vermont,male,188,106
Carolina,Lowe,20/01/1970,Georgia,male,187,67
Dallas,Rau,24/05/1992,WestVirginia,female,150,119
Ora,Torp,14/03/1970,NewYork,male,193,148
Raven,Muller,04/01/1969,NewYork,male,153,158
Merle,Friesen,28/02/1982,Ohio,female,162,138
Gwendolyn,McCullough,24/07/1970,Hawaii,male,170,125
Salvatore,Stiedemann,24/11/1975,Mississippi,female,189,59
Leta,D'Amore,19/01/1987,Kansas,male,155,93
Cicero,Batz,07/02/1990,NewHampshire,male,175,98
Irving,Erdman,05/12/1970,Alaska,female,160,71
Sherwood,Little,23/05/1984,Virginia,female,172,153
Samara,Stanton,21/11/1966,Alabama,female,183,155
Allan,Von,30/08/1987,Nevada,male,160,139
Zechariah,Robel,05/11/1987,Mississippi,male,183,147
Wilhelmine,VonRueden,30/08/1977,Texas,male,186,65
Jerry,Prohaska,24/05/1971,Wisconsin,female,175,109
Gino,Abbott,03/02/1984,Arkansas,female,182,83
Domenica,Senger,08/12/1993,Michigan,male,162,94
Laney,Dickens,03/09/1970,Pennsylvania,female,164,149
Lura,Graham,17/10/1978,Kansas,male,177,60
Patrick,Luettgen,17/08/1993,NewHampshire,female,166,110
Caroline,Lueilwitz,20/05/1964,Idaho,female,162,72
Warren,Wolff,27/01/1982,Nebraska,female,191,95
Ambrose,Powlowski,16/07/1976,Pennsylvania,female,162,58
Alice,Ankunding,20/08/1974,NorthDakota,female,184,137
Tracy,Will,03/10/1980,Iowa,male,196,82
Robb,Sipes,09/03/1984,NorthCarolina,female,191,152
Arvel,Weimann,31/01/1984,Oregon,female,190,69
Bernita,Mayert,12/08/1980,SouthDakota,female,159,100
Aiden,Runolfsson,08/04/1969,Louisiana,female,150,160
Andrew,Pacocha,15/06/1966,Hawaii,female,151,84
Joany,Terry,17/11/1983,Louisiana,female,200,111
Rozella,McDermott,07/12/1989,Kansas,male,195,90
Sterling,Russel,04/01/1965,NorthDakota,male,180,118
Myrl,Abbott,10/01/1967,Utah,female,160,83
Johanna,O'Reilly,16/12/1971,NewYork,male,197,72
Gregg,Heaney,15/01/1982,Louisiana,male,159,51
Charley,Rau,26/09/1965,NorthDakota,male,189,140
Freeman,Hane,19/12/1975,Iowa,female,188,50
Laverne,Lesch,28/03/1985,Texas,female,181,51
Sigrid,Homenick,21/08/1972,SouthCarolina,male,180,55
Magali,McClure,13/08/1986,NewYork,female,155,54
Audreanne,Bruen,18/03/1973,SouthCarolina,male,192,153
Aliya,Considine,02/07/1978,NorthDakota,female,198,109
Maryse,Vandervort,19/07/1969,NewYork,female,157,131
Dolly,Wunsch,15/05/1985,Pennsylvania,male,157,123
Reina,Gutmann,09/10/1978,Virginia,male,171,144
Zachary,Little,10/10/1966,Alabama,male,182,119
Cleta,Terry,06/06/1988,Colorado,male,151,91
Woodrow,Wuckert,16/01/1989,Virginia,male,193,159
Wilmer,Waters,25/06/1993,Iowa,male,184,114
Christina,Ortiz,08/01/1966,NewHampshire,male,191,126
Claude,Krajcik,21/03/1976,Mississippi,male,176,107
Abbey,Mitchell,03/09/1984,NorthCarolina,female,179,102
Crystal,Nikolaus,25/03/1970,Louisiana,male,163,119
Dillon,Smitham,21/07/1986,California,female,162,135
Garnett,Walker,12/06/1966,Mississippi,female,172,71
Leslie,Veum,30/10/1965,Iowa,male,183,142
Odell,Runolfsdottir,31/03/1985,Vermont,female,184,144
Darrel,Batz,19/06/1965,NewHampshire,female,185,128
Summer,Mitchell,08/02/1992,Illinois,male,187,93
Minerva,Feest,30/01/1964,Oklahoma,male,192,73
Kamren,Stokes,24/05/1968,Montana,female,199,131
Ross,Lockman,26/06/1986,Wyoming,male,152,84
Frida,Shields,26/07/1976,Pennsylvania,female,182,114
Gabriella,Daugherty,04/04/1990,Virginia,male,199,142
Ellis,Hudson,31/12/1990,Montana,female,199,80
Dannie,Hilll,23/08/1979,Ohio,female,191,152
Fidel,Kub,11/08/1971,Mississippi,male,165,115
Ismael,Zulauf,14/10/1968,Illinois,male,157,81
Dasia,Smith,13/04/1983,Alabama,male,199,53
Haleigh,Sawayn,30/08/1979,Alaska,female,169,146
Benton,Leuschke,03/04/1972,NewHampshire,male,174,143
Abbigail,Maggio,28/02/1973,Missouri,female,155,148
Roger,Jacobs,27/07/1991,Arizona,male,160,108
Alicia,Christiansen,26/06/1970,NewJersey,male,196,106
Edgardo,Casper,23/10/1977,NewMexico,male,169,103
Kaycee,Pfannerstill,16/04/1965,NewHampshire,male,152,83
Marjorie,Lesch,01/12/1964,Indiana,female,178,116
Simone,Legros,02/10/1992,WestVirginia,male,196,131
Christophe,Ritchie,05/02/1991,Wyoming,male,199,128
Jackson,Labadie,30/07/1973,Georgia,male,171,60
Ellsworth,Cruickshank,29/01/1991,Montana,female,153,114
Elmira,Towne,28/04/1972,Georgia,female,173,126
Elliot,O'Hara,13/08/1982,Connecticut,male,158,148
Solon,Considine,21/03/1978,Ohio,female,172,138
Lila,Beier,13/09/1968,Nevada,male,178,70
Liliana,Casper,29/07/1982,SouthCarolina,female,198,77
Mittie,Berge,17/08/1970,SouthDakota,male,162,139
Milford,Christiansen,19/01/1972,Wisconsin,female,157,129
Rosemarie,Adams,05/09/1964,Florida,female,167,125
Maudie,Weissnat,27/03/1990,Alaska,female,178,60
Ettie,Hickle,25/09/1981,Vermont,male,182,68
Derick,Nader,21/04/1972,Arkansas,male,179,120
Fay,Macejkovic,16/05/1968,Arizona,female,169,138
Lina,Rutherford,19/05/1964,SouthCarolina,female,186,76
Micah,White,28/07/1968,NewMexico,female,178,138
Lavinia,Ankunding,28/02/1971,Delaware,male,195,132
Marty,Boyle,11/10/1980,Michigan,female,176,160
Elwyn,Grady,12/04/1975,Kansas,female,187,66
Jedidiah,Padberg,06/10/1971,Virginia,male,185,104
Maudie,Schuppe,18/10/1980,Arkansas,male,168,55
Edmond,Boehm,27/07/1967,Iowa,female,156,126
Mable,Friesen,26/07/1977,NorthDakota,male,173,78
Wellington,Schamberger,20/12/1971,California,male,175,121
Anastacio,Schimmel,24/06/1966,NorthCarolina,male,171,89
Tamia,Turcotte,11/09/1971,NorthCarolina,male,157,152
Misael,Rolfson,09/06/1988,Nevada,female,153,139
Braden,Barton,04/06/1974,WestVirginia,female,161,85
Jacynthe,Schulist,07/06/1976,Arkansas,female,159,55
Viviane,Kris,04/11/1976,NewMexico,male,193,133
Kaitlin,Rogahn,26/05/1970,Maryland,female,161,62
Eleonore,Jacobi,28/06/1980,Maryland,male,184,76
Camryn,Friesen,22/03/1969,WestVirginia,male,165,128
Kaitlyn,Mohr,10/03/1969,NewMexico,male,179,72
Melvina,Bauch,22/11/1986,Kansas,male,181,120
Ava,Mraz,25/04/1987,Vermont,male,196,137
Julius,Daniel,10/07/1984,Massachusetts,male,150,144
Foster,Dietrich,14/12/1992,Texas,female,193,58
Durward,Stroman,27/08/1970,Louisiana,female,185,78
Hortense,Wyman,15/08/1981,NorthCarolina,male,184,63
Manuel,Schaefer,21/08/1974,Virginia,male,158,87
Lilly,Zboncak,13/04/1968,NorthCarolina,female,184,52
Ruthe,Jacobi,13/11/1971,SouthCarolina,male,195,86
Meghan,Robel,11/09/1968,Georgia,female,168,149
Ole,Olson,04/03/1990,Minnesota,male,174,108
Darby,Hauck,18/10/1992,Texas,male,198,99
Al,Bruen,27/10/1968,Texas,female,167,100
Sonny,Bartoletti,09/06/1969,Oregon,female,178,84
Jaquan,Metz,07/05/1964,Louisiana,male,153,50
Abdullah,Toy,09/12/1982,NorthCarolina,male,182,125
Rhianna,Schimmel,15/04/1971,Tennessee,female,199,143
Anita,Jaskolski,10/09/1980,Maine,female,170,107
Liliane,Goldner,02/11/1980,Indiana,female,153,96
Candice,Runolfsdottir,25/09/1970,NorthDakota,female,172,138
Arne,Corkery,29/08/1990,Connecticut,male,151,80
Reilly,Ernser,22/07/1965,Iowa,female,162,76
Davon,Prohaska,24/12/1979,Washington,male,162,115
Diego,Thiel,18/11/1974,Connecticut,female,155,65
Brooke,Bashirian,17/08/1966,Illinois,female,151,73
Declan,Wolf,21/02/1982,Kentucky,male,160,144
Darius,Glover,23/08/1971,Washington,male,176,140
Mozell,DuBuque,12/07/1990,Minnesota,female,158,74
Nola,Bahringer,01/04/1984,Missouri,male,192,82
Michele,Prosacco,30/11/1969,Alabama,female,192,131
Jessyca,Prosacco,18/05/1991,Mississippi,male,187,134
Jesse,Dare,19/02/1981,SouthDakota,male,157,50
Carlo,Orn,16/07/1982,Connecticut,female,150,77
Jonatan,Haley,11/08/1978,Tennessee,male,166,88
Doyle,Lueilwitz,10/01/1972,NorthCarolina,male,198,91
Broderick,Abbott,05/03/1984,Oregon,male,179,115
Katheryn,Luettgen,18/02/1965,Nebraska,male,195,61
Keara,Schamberger,21/03/1985,Massachusetts,male,152,80
Jeanie,Bauch,08/06/1972,Virginia,female,186,62
Ramon,Emard,16/08/1987,SouthCarolina,male,190,155
Cedrick,Stroman,14/09/1977,Illinois,male,185,125
Vesta,Donnelly,09/04/1965,Montana,male,193,141
Vanessa,Wintheiser,01/04/1975,Texas,male,162,142
Piper,Upton,02/04/1969,Arizona,female,161,67
Clark,Raynor,25/08/1969,SouthDakota,female,168,62
Elian,Bernier,26/08/1975,Mississippi,female,185,127
Hailie,Prosacco,15/09/1971,Oklahoma,female,194,116
Brenden,Cormier,28/05/1970,Arkansas,female,194,120
Loyal,Kuphal,30/07/1986,Alaska,male,155,88
Stan,Luettgen,29/06/1978,NewYork,male,181,66
Rigoberto,Jenkins,29/05/1980,Nevada,female,193,143
Jerel,Gutmann,08/04/1990,WestVirginia,female,194,126
Jayme,Davis,30/11/1967,NewJersey,male,194,153
Cortney,Murazik,26/10/1970,Vermont,male,156,68
Tamia,Champlin,18/09/1972,NewMexico,female,187,107
Veronica,Torphy,29/06/1966,NewHampshire,male,185,72
Tony,Schuppe,21/06/1973,Utah,female,163,58
Hailee,Powlowski,02/05/1993,Colorado,female,197,156
Christina,Keeling,05/02/1993,Nebraska,female,194,56
Edd,Sporer,15/03/1990,Missouri,male,197,124
Bethany,Koelpin,06/05/1982,Alabama,female,197,109
Sterling,Homenick,23/09/1970,California,female,180,94
Larissa,Harber,19/09/1970,Massachusetts,female,155,80
Candida,Weber,26/02/1988,Kansas,female,172,95
Reva,Jerde,26/04/1981,Utah,male,198,64
Candida,Wunsch,07/07/1984,Wisconsin,male,178,142
Arlo,O'Hara,03/10/1990,RhodeIsland,male,194,60
Lauriane,Koch,18/09/1976,Oklahoma,male,190,52
Cullen,Bergstrom,04/06/1981,Alaska,female,167,148
Oma,Hansen,12/06/1993,Iowa,male,162,139
Melisa,Kassulke,21/06/1983,SouthDakota,female,164,131
Neva,Emmerich,19/03/1975,Maine,male,159,87
Mckenna,Zboncak,17/04/1988,Oregon,male,188,99
Bulah,Stoltenberg,18/04/1973,Ohio,female,164,149
Arnaldo,Ruecker,07/12/1983,Pennsylvania,female,198,143
Jovani,Murphy,28/06/1970,Maine,female,157,94
Marcus,Hessel,10/08/1977,Nebraska,female,178,80
Alexandrine,Romaguera,11/02/1984,NewMexico,female,152,56
Unique,Connelly,27/08/1975,Alaska,female,174,93
Liam,Abernathy,09/06/1972,WestVirginia,female,200,120
Theo,Steuber,01/04/1989,Wisconsin,male,158,152
Magali,Schroeder,16/12/1982,Michigan,female,194,61
Heloise,Lubowitz,05/03/1969,Arkansas,male,200,146
Katarina,Labadie,14/11/1986,Maine,female,168,66
Cecil,Schaden,23/06/1971,SouthCarolina,female,158,61
Hilario,Heller,16/01/1969,Arizona,male,154,78
Emilio,Moen,18/09/1986,Illinois,female,193,141
Hermina,Deckow,30/03/1989,Idaho,female,186,146
Jacquelyn,Hegmann,10/08/1965,Delaware,female,179,89
Toney,Jacobson,16/06/1990,Wyoming,female,167,88
Noe,Herman,09/03/1985,Virginia,female,196,106
Myrtis,Hoeger,18/08/1968,NewHampshire,female,161,92
Mateo,Gottlieb,21/09/1993,NewJersey,male,194,91
Muriel,Rau,06/06/1993,Connecticut,female,200,132
Alda,Predovic,04/03/1984,Montana,female,199,150
Robert,Schmeler,20/09/1974,Missouri,female,191,160
Burdette,McGlynn,21/06/1973,Massachusetts,female,152,143
Alanis,Auer,25/09/1985,Louisiana,female,177,111
Pierre,Donnelly,14/10/1978,Idaho,male,155,65
Green,Hansen,04/01/1972,Vermont,male,152,103
Berry,Wolff,06/01/1989,Vermont,female,182,94
Jammie,Grant,12/01/1971,Arizona,male,157,120
Roxane,Thiel,11/10/1968,Hawaii,female,188,107
Tony,Marquardt,02/03/1975,Alaska,male,162,104
Merlin,Schuppe,06/01/1977,Maryland,male,194,102
Zella,Marks,16/04/1986,Kentucky,male,180,81
Thaddeus,Shields,12/09/1989,Montana,male,180,85
Katelyn,Upton,27/11/1977,SouthDakota,female,170,145
Guido,Zulauf,20/01/1993,Georgia,female,154,156
Johann,Koelpin,13/06/1989,Minnesota,male,156,52
Brycen,Borer,27/08/1993,Delaware,female,175,123
Katlyn,McGlynn,29/11/1975,Arkansas,male,169,139
Gina,Kiehn,07/10/1965,Massachusetts,female,183,113
Adan,Lesch,24/01/1972,Ohio,male,165,140
Marcos,Emmerich,29/03/1967,Oregon,female,185,126
Rico,Swift,27/09/1984,Arizona,male,200,82
Savannah,Emard,10/03/1987,Maine,male,164,148
Abraham,Gottlieb,08/10/1980,Nebraska,male,171,83
Keagan,Tromp,18/10/1987,Idaho,male,155,93
Lillian,Tremblay,20/11/1976,Tennessee,male,197,106
Ian,Effertz,05/07/1964,Vermont,female,161,51
Golden,Satterfield,25/08/1989,Montana,female,197,95
Ruthe,Koss,01/10/1988,Connecticut,male,164,58
Rozella,Spinka,27/04/1991,NewMexico,male,157,92
Florine,Beer,31/12/1981,Arizona,female,175,59
Christa,Leffler,31/08/1988,NewYork,male,166,58
Vinnie,Mills,06/09/1975,Louisiana,female,171,90
Nathaniel,Kerluke,03/02/1970,California,male,192,136
Gregoria,Tromp,05/05/1964,Connecticut,female,156,148
Bailey,Moen,07/12/1976,Michigan,male,168,140
Johanna,Hane,11/01/1971,Oklahoma,male,182,54
Elisha,Runolfsson,24/08/1981,Indiana,female,178,159
Gus,Thiel,18/11/1978,Idaho,female,164,79
Odie,Cormier,22/08/1992,Alaska,male,180,94
Jermaine,Koch,22/06/1968,Minnesota,male,186,149
Candice,Thompson,09/01/1990,Tennessee,male,176,73
Linwood,Considine,02/02/1978,Missouri,female,181,120
Lucienne,Dooley,23/07/1983,Hawaii,male,180,102
Russell,Turcotte,25/12/1988,Florida,male,195,116
Thelma,Sanford,30/12/1972,NewJersey,male,178,157
Damien,Reilly,30/06/1987,Maryland,male,188,116
Phyllis,Waelchi,10/03/1967,Tennessee,male,198,67
Katheryn,Considine,24/07/1964,Michigan,male,178,99
Hilma,Greenfelder,12/07/1990,Colorado,female,162,53
Angela,Spinka,03/05/1991,Michigan,female,165,133
Hallie,Kerluke,18/09/1964,Texas,female,173,79
Lyla,Emmerich,07/05/1980,RhodeIsland,female,185,148
Luis,Tremblay,12/08/1965,Pennsylvania,female,165,104
Mina,Volkman,21/10/1989,Virginia,female,184,92
Mariano,Homenick,03/11/1986,Vermont,female,198,155
Gilda,Nolan,24/08/1966,Connecticut,male,151,127
Brown,Wilderman,30/03/1977,Texas,male,157,121
Jake,Koch,18/06/1979,Kentucky,female,162,72
Amya,Maggio,26/12/1985,Louisiana,female,181,99
Rosalind,Blick,22/08/1974,Connecticut,female,169,134
Maybell,Swaniawski,20/08/1973,Washington,female,153,74
Amanda,Roob,20/12/1972,Massachusetts,female,198,152
Wallace,Volkman,23/07/1967,Maryland,male,173,75
Liana,Frami,12/05/1965,Wyoming,female,172,150
Melisa,Bernhard,04/06/1968,Oklahoma,female,151,144
Candido,Keeling,22/02/1987,California,male,179,147
Jillian,Thiel,29/09/1977,Hawaii,female,187,52
Leila,Kunde,17/07/1985,Montana,male,151,79
Meagan,Zboncak,25/04/1973,Alaska,female,189,147
Tom,Hudson,30/05/1987,Arkansas,male,177,80
Easton,Bosco,15/03/1974,SouthDakota,male,153,86
Anabel,Zemlak,13/08/1989,Montana,male,193,80
Manuel,Dare,26/06/1988,NorthDakota,female,177,131
Brice,Wolf,18/03/1968,Maine,female,186,70
Odie,Jacobs,22/03/1987,Massachusetts,male,164,73
Rosalinda,Koch,23/06/1980,Alaska,male,190,137
Meghan,Erdman,16/06/1973,NewYork,male,200,107
Urban,Mueller,05/12/1972,Alabama,female,193,110
Garnet,Daniel,25/02/1983,Vermont,male,196,84
Rickie,Gerlach,15/12/1978,Washington,female,171,145
Bernardo,Daniel,13/09/1988,California,male,184,152
Abigale,Abbott,04/09/1970,Maryland,male,158,137
Brown,McClure,01/05/1969,Washington,male,179,86
King,Eichmann,20/03/1970,Wisconsin,male,160,55
Travis,Zieme,04/08/1966,Georgia,male,188,86
Royal,Stracke,23/01/1977,Connecticut,male,158,63
Kenyon,Jacobi,08/11/1978,Washington,female,172,62
Clint,Wehner,11/11/1984,Nevada,male,187,156
Katherine,Kuphal,20/03/1986,Kentucky,female,165,146
Jerrod,Rowe,18/11/1973,Virginia,male,188,81
Christina,Grant,11/12/1990,Maryland,male,173,156
Otilia,Funk,20/03/1968,NorthCarolina,male,176,63
Dagmar,Waters,10/04/1992,WestVirginia,female,193,127
Johann,Mills,29/09/1965,NorthDakota,female,196,150
Milton,Streich,16/12/1971,Alabama,female,157,123
Polly,Rosenbaum,07/04/1992,Delaware,male,180,141
Adan,Haag,07/09/1972,Nebraska,male,192,78
Bill,Harvey,06/03/1970,Idaho,male,180,159
Lorna,Waters,30/12/1972,Tennessee,female,196,81
Keshaun,Beier,22/04/1965,WestVirginia,male,177,53
Letitia,Lehner,06/11/1972,NewHampshire,male,150,105
Estell,Osinski,20/09/1990,Pennsylvania,male,171,52
Mazie,Langworth,12/01/1988,Delaware,male,181,145
